yesno_label	question	ideal_answer
0	Is Pim-1 a protein phosphatase?	Pim-1 is a kinase and not a phosphatase.
1	Does a tonsillectomy affect the patient's voice?	Some patients complaint for dry throat, foreign body sensation or voice change after tonsillectomy. Group B had a better awareness of tooth damage . There were no differences in secondary outcomes  across treatment groups. The incidence rates of voice change, velopharyngeal insufficiency, bleeding, constipation, dehydration, and pain were measured.
1	Is it feasible to determine the complete proteome of yeast?	since the complete genome of yeast is known.
1	Does CRISPR inversion of CTCF sites alter genome topology?	CRISPR inversion of CTCF sites alters genome topology.
0	The TRPM2 gene is associated with development of spontaneous thromboembolism?	TheTransientReceptorPotentialMelastatin 2 (TRPM2) is a member of G protein coupled receptor superfamily and a novel dual-function protein that possesses both ion channel andAdenosine 5'-DiphosPhataseRibose (ADPR) hydrolase function. TRPM2 is involved in Ca2+signaling in various cells as an endogenous redox sensor for oxidative stress and reactive oxygen species, and contributes to cytokine production, insulin release, motility, Ca2+entry and Ca2+-dependent cellular reactions such as endothelial hyper-permeability and apoptosis and may regulate the bacteriocidal activity of Macrophages
0	Is it safe to take isotretinoin during pregnancy?	The isotretinoin has severe teratogenic effects and it is not safe to use during pregnancy.
1	Proteomic analyses need prior knowledge of the organism complete genome. Is the complete genome of the bacteria of the genus Arthrobacter available?	the complete genome sequence of Arthrobacter (two strains) is deposited in GenBank.
1	Is HER2 active only when it dimerizes?	HER2 activation is driven by the formation of various dimer complexes between members of this receptor family.
1	Can cognitive behavioral therapy improve fatigue in cancer patients?	it has been documented that cognitive behavioral therapy reduces fatigue symptom severity in cancer patients. In addition,  cognitive behavioral therapy has been also shown to improve mood and overall quality of life, and it can be successfully delivered through a variety of treatment modalities in patients with cancer.
1	Is cadasil syndrome a hereditary disease?	Cerebral autosomal dominant arteriopathy with subcortical infarcts and leukoencephalopathy (CADASIL) is an inherited cerebral small vessel disease, clinically characterized by migraine, recurrent transient ischemic attacks or strokes, psychiatric disorders and cognitive decline. Strokes are typically ischemic, while hemorrhagic events have been only sporadically described. CADASIL is the most common form of hereditary cerebral angiopathy.
1	Can bioprinting use human cells?	human cells can be used for bioprinting
0	Can chronological age be predicted by measuring telomere length?	telomere length measurement by real-time quantitative PCR cannot be used to predict age of a person, due to the presence of large inter-individual variations in telomere lengths.
1	Is cytisine superior to nicotine replacement therapy for smoking cessation?	one clinical trial that directly compared smoking cessation rates with cytisine versus nicotine replacement therapy reported that cytisine was  superior to nicotine-replacement therapy in helping smokers quit smoking, but it was associated with a higher frequency of self-reported adverse events.
1	Is pregnancy an additional risk during during H1N1 infection?	Pregnant women are at increased risk for complications from pandemic influenza H1N1 virus infection. Pregnant women, because of their altered immunity and physiological adaptations, are at higher risk of developing pulmonary complications, especially in the second and third trimesters. Pregnancy, particularly during the third trimester, increases the risk of complications and early antiviral treatment is associated with improved outcomes.
1	Is vemurafenib effective for hairy-cell leukemia?	vemurafenib is highly effective in patients with relapsed or refractory hairy-cell leukemia.
1	Are apoE mimetics being considered as a treatment against Alzheimer's disease?	apoE mimetics are being considered as a treatment against Alzheimer's disease, and  they have been shown to protect AD mouse models against these AD-like features.
1	Are there RNAi approaches considered for the treatment of kidney injury?	RNAi approaches are being considered for the treatment of kidney injury.
1	Is lambrolizumab effective for treatment of patients with melanoma ?	Lambrolizumab, a programmed death-1 receptor (PD-1)/its ligand (PD-L1) antibody, has been shown to be effective for treatment of patients with melanoma. High rate of sustained tumor regression with mainly minimal adverse effects in melanoma patients treated with lambrolizumab has been reported. Because of all these reasons PD-1/PD-L1 antibodies are considered 'drug of the year.
0	Does RUNX2 inhibit astrocyte differentiation?	RUNX2 promostes astrocyte differentiation.
1	Is there a role for gamma knife in treatment of Obsessive-Compulsive Disorder?	Gamma knife radiosurgery is being increasingly to treat refractory obsessive- compulsive disorder (OCD). It is reserved for severe, treatment-refractory disease that has not responded to multiple treatments.
1	Are there transposon-free regions in mammalian genomes?	Despite the presence of over 3 million transposons separated on average by approximately 500 bp, the human and mouse genomes each contain almost 1000 transposon-free regions (TFRs) over 10 kb in length. The majority of human TFRs correlate with orthologous TFRs in the mouse, despite the fact that most transposons are lineage specific. Many human TFRs also overlap with orthologous TFRs in the marsupial opossum, indicating that these regions have remained refractory to transposon insertion for long evolutionary periods. Over 90% of the bases covered by TFRs are noncoding, much of which is not highly conserved. Most TFRs are not associated with unusual nucleotide composition, but are significantly associated with genes encoding developmental regulators, suggesting that they represent extended regions of regulatory information that are largely unable to tolerate insertions, a conclusion difficult to reconcile with current conceptions of gene regulation.
0	Is Hepatic mesenchymal hamartoma usually a malignant tumor?	Mesenchymal hamartoma of the liver (MHL) is an uncommon benign hepatic tumor typically affecting children under 2 years of age.
1	Can life style changes reduce oxidative stress	Our results suggested that life style changes which related to migration might reduce DNA damage in Hasake nationalities.
1	Is peripheral neuroepithelioma related to Ewing sarcoma?	Experimental data support the concept that Ewing sarcoma and peripheral neuroepithelioma are both peripheral primitive neuroectodermal neoplasms, differing only in the extent of neuroectodermal phenotype and morphological differentiation.
1	Is CD84 genetically associated with arthritis?	Three members of this gene family, Ly108, Ly9, and CD84, exhibit polymorphisms that strongly influence susceptibility to systemic autoimmunity, notably in mice, but also in some human populations. Our study demonstrates that an allele associated with response to etanercept therapy is also associated with CD84 gene expression, and further that CD84 expression correlates with Rheumatoid Arthritis disease activity.
1	Is there a package in R/bioconductor for classification of alternative splicing?	SpliceR is an R package for classification of alternative splicing and prediction of coding potential from RNA-seq data.
1	Are epigenetic modifications implicated in cardiovascular development and disease?	Genetic and epigenetic factors are of great importance in cardiovascular biology and disease. Aberrant epigenetic mechanisms may lead to pathological consequences such as cardiovascular disease (CAD).Recent studies have greatly expanded our understanding of the regulation of cardiovascular development at the chromatin level, including the remodeling of chromatin and the modification of histones. Thus, understanding chromatin-level regulation will allow for a better appreciation of gene regulation as a whole and may set a fundamental basis for cardiovascular disease.
1	Is there an increased risk for cancer in Dyskeratosis Congenita?	People with DC are at increased risk for progressive bone marrow failure (BMF), myelodysplastic syndrome (MDS) or acute myelogenous leukemia (AML), solid tumors (usually squamous cell carcinoma of the head/neck or anogenital cancer), and pulmonary fibrosis
0	Is it possible to detect survivin protein expression in normal human adult tissues?	Survivin is an inhibitor of apoptosis that is undetectable in normal differentiated tissues of adult human.
1	Is DITPA a thyroid hormone analog utilized in experimental and clinical studies	There is very large body of evidence that DITPA is a true thyroid hormone analog, largely utilized in experimental and clinical studies.
1	Is Tisagenlecleucel effective for B-Cell Lymphoma?	CD19-targeting CAR T-cell therapy tisagenlecleucel produces durable responses in patients with relapsed and refractory diffuse large B-cell lymphoma.
0	Is NADPH oxidase 5 expressed in rodents?	NADPH oxidase 5 is not expressed in rodents, because the gene is absent.
1	Is human lysyl oxidase-like 2 a glycoprotein?	human lysyl oxidase-like 2 is a glycoprotein.
1	Can methylenetetrahydrofolate reductase (MTHFR) gene mutations cause homocystinuria?	several methylenetetrahydrofolate reductase (MTHFR) gene mutations can cause homocystinuria and hyperhomocysteinemia.
1	Does resveratrol reduce cardiac remodeling?	Resveratrol attenuates left ventricular remodeling. Resveratrol is a beneficial pharmacological tool that augments autophagy to bring about reverse remodeling in the postinfarction heart. Resveratrol administration improved cardiac environment by reducing inflammatory state and decreased unfavorable ventricular remodeling of the diabetic heart, leading to a marked recovery of ventricular function. Resveratrol can constitute an adjuvant therapeutic option in prevention of dilated cardiomyopathy.
0	Are mutations in the C9orf72  gene associated with macular degeneration?	Amyotrophic lateral sclerosis (ALS) is characterized by motor neurone loss resulting in muscle weakness, spasticity and ultimately death. 5-10% are caused by inherited mutations, most commonly C9ORF72, SOD1, TARDBP and FUS.
0	Are there any specific antidotes for rivaroxaban?	Currently, there is no specific antidote for rivaroxaban
1	Is irritable bowel syndrome more common in women with endometriosis?	irritable bowel syndrome (IBS) is more common in women with endometriosis. It has been shown that 15% of the patients with endometriosis also had IBS. Women with endometriosis are more likely to have received a diagnosis of IBS. Endometriosis may coexist with or be misdiagnosed as IBS.
1	Has the protein GFP been used in transgenesis for live protein imaging?	the stable transgenesis of genes encoding functional or spatially localized proteins, fused to fluorescent proteins such as green fluorescent protein (GFP) or red fluorescent protein (RFP), is an extremely important research tool in cell and developmental biology.
1	Are there any DNMT3 proteins present in plants?	The plant DOMAINS REARRANGED METHYLTRANSFERASE2 (DRM2) is a homolog of the mammalian de novo methyltransferase DNMT3. DRM2 contains a novel arrangement of the motifs required for DNA methyltransferase catalytic activity.
0	"Can we detect DNA strand asymmetries using dinucleotide relative abundance ""genomic signatures""?"	"The set of dinucleotide relative abundances can be regarded as a genomic signature because, despite diversity between species, it varies little between 50 kilobase or longer windows on a given genome. Thus, dinucleotide relative abundance profiles are species-type specific. These profiles are computed from the base step ""odds ratios"" that compare dinucleotide frequencies to those expected under the assumption of stochastic equilibrium (thorough shuffling). Dinucleotide relative abundance ""genomic signatures"" are strand-independent second-order DNA features. Thus, they cannot be used to detect DNA strand asymmetries."
1	Has Denosumab (Prolia) been approved by FDA?	Denosumab was approved by the FDA in 2010.
1	Can Pentraxin 3 predict outcomes of sepsis?	Pentraxin 3 s an objective biochemical marker in diagnosis of sepsis; it is helpful in assessment of severity and prognosis of sepsis; it also has a certain clinical value in the assessment of sepsis cardiovascular function damage.
1	Does cucumber lower blood sugar in diabetics?	Based on several scientific reports, ethanolic extract of cucumber and some other Cucurbitaceae plants are associated with a significant reduction of elevated blood glucose level, suggesting that cucumber could have antidiabetic activity.
1	Is poly (ADP- ribosylation) involved in transcriptional control?	poly (ADP- ribosylation) plays a role in the maintenance of transcriptional fidelity.
0	Does tremelimumab improve survival of mesothelioma patients?	Tremelimumab did not significantly prolong overall survival compared with placebo in patients with previously treated malignant mesothelioma.
1	Can nanoparticles be used for afterglow imaging?	Nanoparticles are used for afterglow imaging.
1	Have gnotobiotic animal models been used for the study of bowel disease?	gnotobiotic animals (e.g. mice) have been used for the study of bowel disease (e.g. inflammatory bowel disease).
0	Is K-63 linked protein ubiquitination related to proteasomal degradation?	Ubiquitination is best known for its role in targeting proteins for degradation by the proteasome, but evidence of the nonproteolytic functions of ubiquitin is also rapidly accumulating. One example of the regulatory, rather than proteolytic, function of ubiquitin is provided by study of the tumor necrosis factor (TNF) receptor-associated factor (TRAF) proteins, which function as ubiquitin ligases to synthesize lysine 63 (K(63))-linked polyubiquitin chains to mediate protein kinase activation through a proteasome-independent mechanism. Some TRAF proteins, such as TRAF2 and TRAF3, have recently been shown to have a positive role in the canonical pathway that activates nuclear factor kappaB (NF-kappaB) through IkappaB kinase beta (IKKbeta), but a negative role in the noncanonical pathway that activates NF-kappaB through IKKalpha. These opposing roles of TRAF proteins may be linked to their ability to synthesize distinct forms of polyubiquitin chains. Indeed, the TRAF2-interacting protein RIP can mediate IKK activation when it is modified by K(63) polyubiquitin chains, but is targeted to degradation by the proteasome when it is K(48)-polyubiquitinted by the NF-kappaB inhibitor A20. Thus, ubiquitin chains are dynamic switches that can influence signaling outputs in dramatically different ways.In contrast to K48-linked polyubiquitin chains, K63-linked polyubiquitin chains function in nonproteasomal biological processes.
1	Does thyroid hormone affect cardiac remodeling ?	Cardiac function and mechanics are significantly affected by low thyroid function. l-T4 therapy improves but does not completely recover cardiac function in patients with mild hypothyroidism. Long-term T4 treatment after myocardial infarction has beneficial effects on myocyte, arteriolar, and collagen matrix remodeling in the non-infarcted area. Most importantly, results suggest improved survival of myocytes in the peri-infarct area.
1	Is SLC22A3 expressed in the brain?	SLC22A3 (organic cation transporter (OCT3)) is widely expressed in various organs in humans, and involved in the disposition of many exogenous and endogenous compounds. Several lines of evidence have suggested that OCT3 expressed in the brain plays an important role in the regulation of neurotransmission.
1	Is curcumin a phytochemical?	curcumin is a phytochemical derived from rhizome of turmeric Curcuma longa.
1	Is nintedanib effective for Idiopathic Pulmonary Fibrosis?	nintedanib is approved for Idiopathic Pulmonary Fibrosis treatment.  Nintedanib was shown to slow the decline in lung function, decrease acute exacerbations, decrease the annual rate of decline in forced vital capacity and increase time to acute exacerbation.
1	Are whole-genome duplications more divergent than small-scale duplications in yeast?	Whole-genome duplicates tend to exhibit less profound phenotypic effects when deleted, are functionally less divergent, and are associated with a different set of functions than their small-scale duplicate counterparts.
1	Could plasmepsins be used as targets for developing anti-malaria drugs?	plasmepsins, which are essential Plasmodium proteases, could be highly promising anti-malarial drug targets.
0	Is vorinostat effective for glioblastoma?	Although vorinostat is well tolerated it does not improve survival of glioblastoma patients.
1	Does surgery for ovarian endometriomas improve fertility?	endometrioma surgery seems to improve the success rates of fertility treatment.
1	Is golimumab effective for ulcerative colitis?	Golimumab is a TNF-blocking agent indicated as a second-line therapy in ulcerative colitis.
1	Can venlafaxine block NET and SERT?	venlafaxine inhibits both the NET and SERT.
0	Is scuba diving safe during pregnancy?	scuba diving should be avoided throughout pregnancy because the fetus is at an increased risk for decompression sickness during this activity.
1	Can PLN mutations lead to dilated cardiomyopathy?	PLN mutations can lead to dilated cardiomyopathy.
1	Is glycyl-tRNA synthetase gene involved in the development of Charcot-Marie-Tooth disease?	Dominant mutations in GARS, encoding the essential enzyme glycyl-tRNA synthetase (GlyRS), result in a form of Charcot-Marie-Tooth disease, type 2D (CMT2D), predominantly characterized by lower motor nerve degeneration.
1	Does prolactinoma increase osteoporosis risk?	prolactinomas increase risk of osteoporosis. Prolactinomas also cause hypogonadism, infertility, and tumor mass effects.
1	Can CD55 deficiency cause thrombosis?	loss of CD55 is associated with thrombosis in patients with Paroxysmal nocturnal hemoglobinuria. CD55 deficiency with hyperactivation of complement, angiopathic thrombosis, and protein-losing enteropathy (the CHAPLE syndrome) is caused by abnormal complement activation due to biallelic loss-of-function mutations in CD55
0	Can therapeutic levels of  Vedolizumab be found in the breast milk of nursing mothers following treatment for Inflammatory bowel disease?	vedolizumab can be detected in the breast milk of nursing mothers. although more data are imperative, the concentrations of vedolizumab in breast milk are minute and are therefore unlikely to result in systemic or gastro-intestinal immune-suppression of the infant.
1	Has the protein SETMAR (Metnase) a transposase domain?	the protein SETMAR (Metnase) has a transposase domain.
0	Does MVIIA and MVIIC bind to the same calcium channel?	the omega-conotoxin MVIIC blocks P/Q-type calcium channels with high affinity and N-type calcium channels with low affinity, while the highly homologous omega-conotoxin MVIIA blocks only N-type calcium channels.
1	Is LPS a microbial product?	the lipopolysaccharide (LPS) is a component of the bacterial cell wall.
0	Are there any anti-amyloid antibody approved as drug for Alzheimer's disease treatment?	new drugs have been approved during the past 15 years; and the available medications are not cost-effective.
1	Does the CTCF protein co-localize with cohesin?	Recent genome-wide studies mapping the binding sites of CTCF and its interacting partner, cohesin, using chromatin immunoprecipitation coupled with deep sequencing (ChIP-seq) revealded that CTCF globally co-localizes with cohesin.
1	Is there any link between conserved noncoding elements and alternative splicing in vertebrates?	Some of the most highly conserved sequences occur in genes encoding RNA binding proteins, particularly the RNA splicing-associated SR genes.
1	Is tubulin acetylation involved in cell motility?	induction of alpha-tubulin acetylation correlates with inhibition of cell motility, while it is involved in additional cellular processes, e.g. cell cycle progression, differentiation, intracellular trafficking, and signalling. Dynamic microtubule (MT) acetylation/deacetylation mediating cell motility and adhesion is controlled by enzymes such as HDAC6, a major cytoplasmic α-tubulin deacetylase. While its overexpression and activation is capable to enhance cell motility, HDAC6 activity can also be negatively regulated by a number of cellular inhibitors, thus decreasing the ability of cells for migration.
1	Is Fanconi anemia presented as a genetically and clinically heterogeneous disease entity?	Fanconi anemia (FA), an autosomal recessive disorder characterized by a progressive pancytopenia associated with congenital anomalies and high predisposition to malignancies, is a genetically and clinically heterogeneous disease. At least eight complementation groups (FA-A to FA-H) have been identified
1	Can canagliflozin cause euglycemic diabetic ketoacidosis?	canagliflozin use can cause euglycemic diabetic ketoacidosis. In May 2015, the FDA issued a warning of ketoacidosis with use of sodium-glucose cotransporter-2 (SGLT-2) drug class.
0	Is ustekinumab a polyclonal antibody?	Ustekinumab is a human monoclonal IgG1 antibody targeting the p40-subunit shared by interleukin (IL)12 and IL-23.
1	Is CHEK2 involved in cell cycle control?	CHEK2 is a key cell cycle control gene encoding a pluripotent kinase that can cause arrest or apoptosis in response to unrepaired DNA damage.
1	Is the protein lefty an inhibitor of nodal?	lefty is an inhibitor of nodal.
1	Is Meis1 implicated in microphthalmia?	Meis1 coordinates a network of genes implicated in eye development and microphthalmia. Haploinsufficiency of Meis1, which encodes a transcription factor with evolutionarily conserved expression in the embryonic trunk, brain and sensory organs, including the eye, causes microphthalmic traits and visual impairment in adult mice.
0	Is zolpidem an antibiotic?	zolpidem is a short-acting imidazopyridine hypnotic drug
0	Does Panitumumab prolong survival of biliary tract cancer patients?	Panitumumab in combination with chemotherapy does not improve survival of biliary cancer patients.
1	Is ibudilast effective for multiple sclerosis?	Ibudilast was shown to be effective for progressive multiple sclerosis. In a phase 2 trial involving patients with progressive multiple sclerosis, ibudilast was associated with slower progression of brain atrophy than placebo but was associated with higher rates of gastrointestinal side effects, headache, and depression.
1	Has rituximab been considered as a treatment for chronic fatigues syndrome? (November 2017)	The use of rituximab may be of benefit for CFS/ME, but the evidence of its effectiveness is still limited.
0	Is the Prostate- Specific Antigen (PSA) test relevant only for prostate cancer?	although the PSA test can detect high levels of PSA that may indicate the presence of prostate cancer, many other conditions, such as an enlarged or inflamed prostate, can also increase PSA levels.
1	Are there methods for generating highly multiplexed ChIP-seq libraries?	There are methods for generating highly multiplexed ChIP-seq libraries.
1	Is the gene MAOA epigenetically modified by methylation?	In recent years, the role of epigenetic phenomenon, such as methylation, in mediating vulnerability to behavioral illness has become increasingly appreciated. One prominent locus at which epigenetic phenomena are thought to be in play is the monoamine oxidase A (MAOA) locus. We conclude that methylation of MAOA may play a significant role in common psychiatric illness and that further examination of epigenetic processes at this locus is in order.
1	Is there a disease or condition called Exploding Head Syndrome?	Exploding head syndrome (EHS) is characterized by loud noises or a sense of explosion in the head during sleep transitions.
1	Has ATF4 transcription factor been linked to cancer and neoplastic transformation?	ATF4 transcription factor has been linked to cancer and neoplastic transformation.
1	Is there any role for HUWE1 in MYC signalling?	HUWE1 is a critical colonic tumour suppressor gene that prevents MYC signalling, DNA damage accumulation and tumour initiation.
0	Is the Philadelphia chromosome a fusion between parts of chromosomes 1 and 9?	Chronic myeloid leukemia is a stem cell disease with the presence of Philadelphia chromosome generated through reciprocal translocation of chromosome 9 and 22.
0	Is cardiac magnetic resonance imaging indicated in the pre-participation screening of athletes?	Currently cardiac magnetic resonance imaging is not indicated in the pre-participation screening of athletes. However the potential of this imaging technique to provide new information on cardiac function morphology and myocardial composition, in particular with regard to myocardial fibrosis, gets it potentially suitable to be applied in the pre-participation screening of athletes
1	Is hypersensitivity to DNA crosslinking agents a hallmark of Fanconi anemia?	hypersensitivity to DNA crosslinking agents is one of the hallmarks of Fanconi anemia, the others being defective FANCD2 monoubiquitination, and genomic instability.
1	Is Cystatin D a biomarker?	Cystatin D (CST5): An ultra-early inflammatory biomarker of traumatic brain injury
1	Is Drk essential for anesthesia-resistant memory (ARM) in Drosophila?	Drk, the Drosophila ortholog of the adaptor protein Grb2, is essential for ARM within adult mushroom body neurons in Drosophila.
1	Are Crocus sativus compounds being considered against Alzheimer's disease?	it has been observed that Crocus sativus extracts and compounds have a positive effect against Alzheimer's disease.
0	Are Ultra-conserved elements (UCEs) enriched in segmental duplications?	ULEs are located in intergenic or intronic regions and are depleted from segmental duplications. In addition, here we show that these elements are preferentially found in pathogenic deletions (enrichment ratio 3.6 vs. 0.5 in duplications), and that this association is not related with a higher content of genes.
0	Are loop domains preserved upon cohesin loss?	Degradation of cohesin leads to elimination of loop domains. Neither compartment domains nor histone marks are affected. Loss of loop domains does not lead to widespread ectopic gene activation but does affect a significant minority of active genes.
0	Is verubecestat effective for Alzheimer’s Disease?	Verubecestat is not effective for treatment of Alzheimer’s Disease.
1	Have 5q35 microdeletions been implicated in Sotos syndrome development?	Loss-of-function mutations of NSD1 and 5q35 microdeletions encompassing NSD1 are a major cause of Sotos syndrome (Sos), which is characterized by overgrowth, macrocephaly, characteristic facies, and variable intellectual disability (ID).
1	Is alemtuzumab effective for remission induction in patients diagnosed with T-cell prolymphocytic leukemia?	alemtuzumab (anti-CD52, Campath-1H) is effective for remission induction in patients diagnosed with T-cell prolymphocytic leukemia. Alemtuzumab can be administered in combination with other chemotherapeutic agents or as mono-therapy. Response rate to alemtuzumab is more than 90%. Alemtuzumab therapy is associated with improved survival of T-cell prolymphocytic leukemia patients.
1	Does RNA polymerase II have RNA cleavage activity?	In addition to RNA synthesis, multisubunit RNA polymerases (msRNAPs) support enzymatic reactions such as intrinsic transcript cleavage. The eukaryotic transcription factor TFIIS enhances elongation and nascent transcript cleavage activities of RNA polymerase II in a stalled elongation complex.
1	Does allele phasing improve the phylogenetic utility of ultraconserved elements?	Allele phasing greatly improves the phylogenetic utility of ultraconserved elements. Analyzing allele sequences leads to more accurate estimates of tree topology and divergence times than the more common approach of using contig sequences.
1	Is RIP1 (RIP-1) part of the necrosome?	RIP1 is part of the necrosome.
1	Are proteasome inhibitors good candidates for treatment of leukemia and solid tumors?	several compounds that inhibit different members of the proteasome pathway (for example Bortezomib) are on trial for treatment of leukemia and solid tumors. It seems that a combination with other drugs may be a useful therapy for solid tumors.
1	Are patients with Sjogren syndrome at increased risk for lymphoma?	the heightened risk of non-Hodgkin lymphoma (NHL) development in primary Sjogren syndrome is well established. Five per cent of patients with primary Sjogren's syndrome develop malignant non-Hodgkin's lymphoma, usually of the mucosa-associated lymphoid tissue (MALT) and most frequently located in the major salivary glands. The incidence of lymphoma is higher in patients with Sjögren's syndrome than in the general population.
1	Has the proteome of mice hippocampus been analysed?	numerous proteomic studies of mice hippcampi has been performed.
0	Is Downs syndrome associated with decreased risk of leukemia?	multiple studies have established the incidence of leukemia in Down's syndrome patients to be 10- to 20-fold higher than that in the general population.
1	Is there a role of regorafenib for sarcoma treatment?	there is evidence to suggest that regorafenib can be effective for sarcoma treatment. Clinical trials are under-way.
0	Can NXY-059 be used for treatment of acute ischemic stroke patients?	2,4-disulfonylphenyl PBN derivative, called NXY-059 in the stroke studies, was shown to be safe in humans and was taken all the way through clinical phase 3 trials and then was deemed to be ineffective.
1	Is arimoclomol a co-inducer of the heat shock response?	arimoclomol is a hydroxylamine derivative, a group of compounds which have unique properties as co-inducers of heat shock protein expression, but only under conditions of cellular stress.
1	Is Crohn's disease (CD) linked to the consumption of refrigerated food?	All findings point to refrigeration as a potential risk factor for Crohn's disease. Environmental risk factors playing a causative role in Crohn's Disease (CD) remain largely unknown. Recently, it has been suggested that refrigerated food could be involved in disease development. Patients were exposed earlier than controls to the refrigerator (X2 = 9.9, df = 3, P = 0.04) and refrigerator exposure at birth was found to be a risk factor for CD (OR = 2.08 (95% CI: 1.01-4.29), P = 0.05). Comparable results were obtained looking for the exposure to freezer at home.
1	Are there any urine biomarkers for bladder cancer diagnosis?	Bladder cancer is any of several types of malignancy arising from the epithelial lining of the urinary bladder. Rarely the bladder is involved by non-epithelial cancers, such as lymphoma or sarcoma. It is a disease in which abnormal cells multiply without control in the bladder.The bladder is a hollow, muscular organ that stores urine; it is located in the pelvis. The most common type of bladder cancer recapitulates the normal histology of the urothelium and is known as transitional cell carcinoma or more properly urothelial cell carcinoma. It is estimated that there are 383,000 cases of bladder cancer worldwide
1	Is lactotransferrin a tumour suppressor?	Lactotransferrin (LTF) has been confirmed to act as a tumor suppressor in multiple cancers.
1	Is Migalastat used for treatment of Fabry Disease?	Migalastat is approved for treatment of Fabry disease. Migalastat is an oral pharmacological chaperone developed as an alternative to intravenous enzyme replacement therapy (ERT), stabilises specific mutant (amenable) forms of α-Gal to facilitate normal lysosomal trafficking.
1	Is CD56 useful in Ewing sarcoma prognosis?	Excellent prognosis in a subset of patients with Ewing sarcoma identified at diagnosis by CD56 using flow cytometryIn patients with localized nonpelvic disease, those expressing low/negative CD56 had 100% PFS versus 40% in the high expressing group (P = 0.02)
1	Could Catecholaminergic Polymorphic Ventricular Tachycardia (CPVT) cause sudden cardiac death?	Catecholaminergic Polymorphic Ventricular Tachycardia (CPVT) can cause sudden cardiac death.
1	Is there an association between serum interleukin-6 concentrations and outcomes of stroke patients?	Greater serum interleukin-6 concentrations are associated with worse outcomes in ischemic and hemmorhagic stroke patients
1	Is the HRC Ser96Ala variant associated with sudden cardiac death in patients with dilated cardiomyopathy?	The histidine-rich calcium binding protein (HRC) Ser96Ala polymorphism was shown to correlate with ventricular arrhythmias and sudden death only in dilated cardiomyopathy patients but not in healthy human carriers.The Ser96Ala genetic variant of HRC is associated with life-threatening ventricular arrhythmias in idiopathic DCM and may serve as an independent predictor of susceptibility to arrhythmogenesis in the setting of DCM.
1	Can we use platelet biomarkers to study Alzheimer's disease?	platelet biomarkers can be used to study Alzheimer's disease.
1	Is it possible to analyze exosomes with FACS?	a novel strategy for generating metabolically-labeled fluorescent exosomes that can be counted by flow cytometry assay (FACS) and characterized.
1	Could Hyperthermic intraperitoneal chemotherapy (HIPEC) be effective for the treatment of recurrent ovarian cancer?	There is level-one evidence suggesting the benefit of postoperative adjuvant intraperitoneal chemotherapy for patients with advanced ovarian cancer after cytoreductive surgery, albeit catheter-related complications resulted after treatment discontinuation. Studies report the use of HIPEC predominantly in the setting of recurrent disease and have demonstrated encouraging results, which merits further investigation in future clinical trials
1	Are reduced-nicotine cigarettes effective for smoking cessation?	reduced-nicotine cigarettes are effective for smoking cessation.
0	Does verubecestat activate BACE?	verubecestat is a potent BACE inhibitor.
1	Can vitamin B1 deficiency cause encephalopathy?	Wernicke's encephalopathy (WE) is a severe neurological syndrome caused by thiamine (vitamin B1) deficiency and clinically characterized by the sudden onset of mental status changes, ocular abnormalities, and ataxia. It is commonly associated with heavy alcohol consumption. Other clinical associations are with hyperemesis gravidarum (HG), starvation, and prolonged intravenous feeding.
1	Can the yeast protein Abf1 act as insulator?	Saccharomyces cerevisiae Rap1p and Abf1p proteins are endowed with a potent insulating capacity
1	Can fetal aneuploidy be detected with non-invasive prenatal testing?	the non-invasive preanatal test of cell-free fetal DNA is being used for fetal aneuploidy screening.
0	Does oncogene-induced DNA replication stress inhibit genomic instability?	oncogene-induced DNA replication stress is thought to drive genomic instability.
1	Is protein Fbw7 a SCF type of E3 ubiquitin ligase?	Fbxw7 (also known as Fbw7, SEL-10, hCdc4, or hAgo) is the F-box protein subunit of an Skp1-Cul1-F-box protein (SCF)-type ubiquitin ligase complex that plays a central role in the degradation of Notch family members.The F-box protein Fbw7 (also known as Fbxw7, hCdc4 and Sel-10) functions as a substrate recognition component of a SCF-type E3 ubiquitin ligase. SCF(Fbw7) facilitates polyubiquitination and subsequent degradation of various proteins such as Notch, cyclin E, c-Myc and c-Jun.
1	Is the UGT1A1*28 polymorphism associated with irinotecan response in Caucasians?	it has been shown that the polymorphism UGT1A1*28 is associated with irinotecan response in Caucasians.
1	Does Serca2a bind PLN in the heart?	Serca2a bind PLN in the heart.
1	Are sleep apnea and snoring associated with cardiac arrhythmias?	Evidence supports a causal association of sleep apnea with the incidence and morbidity of hypertension, coronary heart disease, arrhythmia, heart failure, and stroke.
1	is intense physical activity associated with longevity ?	Several survival studies showed that professional athletes has higher longevity than general population. These epidemiological data matches the evidences that long-term endurance training induces in elderly subjects an increased HRV and a higher exercise working capacity, which are well-established predictors of cardiovascular and overall mortality, and also telomere length.
1	"Is MammaPrint cleared by the United States Food and Drug Administration? "	MammaPrint is cleared by the FDA for breast cancer recurrence.
